АвтоСнаб MVP-4 Проверка накладной Накладная

Проверка накладной
Поле,Значение,Кто заполняет,Комментарий
ID проверки,2,система,Не редактировать
Статус проверки,needs_review,система,не распознан поставщик; не распознана точка доставки / организация; не распознана дата накладной; требуется проверка сопоставления шапки накладной: не заполнен iiko_supplier_id; не заполнен iiko_default_store_id/defaultStore; не указан поставщик iiko/supplier id; не указан склад iiko/defaultStore; нет товарных позиций
Поставщик,Поставщик не распознан,пользователь / OCR,Исправьте только если OCR распознал неверно
Номер накладной,Накладная,пользователь / OCR,Номер документа из накладной
Дата накладной,,пользователь / OCR,Дата из накладной
Заведение / точка доставки,Точка доставки не распознана,пользователь / OCR,Куда относится поставка
Склад / подразделение,,"пользователь, если система не определила","Обычное название склада/подразделения, не GUID"
Итоговая сумма,0,система,Считается по строкам: количество × цена
Комментарий пользователя,,пользователь,Необязательно

Товарные позиции
№,Статус проверки,Что исправить,Наименование товара,Количество,Ед. изм.,Цена,Сумма,НДС %,НДС сумма,Комментарий пользователя

