АвтоСнаб Проверка накладной 3-0517-2

Накладная
Поле,Значение
Поставщик,"ООО ""Покупатель"", 127000, г. Москва, Большой пер., д. 2, стр. 2, оф. 20, тел. (495) 100-5678, факс (499) 100-5678, ИНН 7700000002, КПП 770000002, р/с 40700000000000000001, ЗАО Грузополучатель ""Банк"" г. Москва, БИК 044000001, к/с 30100000000000000001 (организация, адрес, телефон, факс, банковские рекананты) ООО ""Компания"", 127000, г. Москва, Малый пер., д. 1, стр. 1, оф. 10, тел. (495) 100-1234, факс (499) 100-1234, ИНН 7700000001, КПП 770000001, р/с 40700000000000000000, ЗАО ""Банк"" г. Москва, БИК 044000000, к/с 30100000000000000000 (организация, адрес, телефон, факс, банзовские рекат ООО ""Покупатель"", 127000, г. Москва, Большой пер., д. 2, стр. 2, оф. 20, тел. (495) 100-5678, факс (499) 100-5678, ИНН 7700000002, КПП 770000002, р/с 40700000000000000001, ЗАО Плательщик ""Банк"" г. Москва, БИК 044000001, к/с 30100000000000000001 (организация, адрес, телефон, факс, банковские реканаты)"
Номер накладной,3-0517-2
Дата накладной,2014-05-17
Заведение / точка доставки,Точка доставки не распознана
Склад / подразделение,
Итоговая сумма,4101.08
Комментарий пользователя,

Товарные позиции
№,Наименование товара,Количество,Ед. изм.,Цена,Сумма без НДС,НДС %,НДС сумма,Сумма с НДС,Комментарий пользователя
1,IIIT,793.22,шт,5200.0,796.0,5.0,3305.08,4101.08,

